0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
10.0,-10.0,-10.0,-50.0,-50.0,-5.0,0.0,-50.0,-50.0,-50.0,10.0,10.0,-50.0,-50.0,10.0,20.0,20.0,20.0,-50.0,-50.0,-50.0,-120.0,-120.0,-50.0,-120.0,-120.0
-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0
0.0,-10.0,-10.0,-10.0,-10.0,-50.0,0.0,-50.0,-50.0,-50.0,5.0,5.0,-50.0,10.0,20.0,-50.0,-50.0,20.0,20.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0,-50.0
-50.0,-50.0,-10.0,-10.0,-10.0,-10.0,-50.0,-5.0,0.0,0.0,0.0,5.0,5.0,-50.0,-50.0,-50.0,-50.0,-50.0,10.0,-50.0,20.0,20.0,-50.0,-120.0,-50.0,-50.0
0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-10.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,0.0
0.0,-20.0,-20.0,-10.0,-10.0,-50.0,-50.0,-50.0,-5.0,-120.0,-5.0,0.0,0.0,5.0,-50.0,5.0,-50.0,-50.0,-50.0,-50.0,-50.0,20.0,-50.0,-50.0,-50.0,-50.0
-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-10.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0
-50.0,-20.0,-20.0,-10.0,-10.0,-10.0,-10.0,-10.0,-50.0,-50.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0,-50.0
-50.0,-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0
-50.0,-15.0,-20.0,-15.0,-10.0,-10.0,-10.0,-10.0,-10.0,-50.0,-50.0,-50.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,-50.0,-50.0,-50.0,-5.0,-120.0
0.0,-50.0,-50.0,-50.0,-50.0,-50.0,0.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0,-50.0,-50.0,-50.0,-50.0,-20.0,-120.0,-120.0,-120.0,-120.0,-120.0
-50.0,-15.0,-20.0,-15.0,-20.0,-50.0,-10.0,-10.0,-10.0,-10.0,-50.0,-50.0,-50.0,-50.0,-5.0,-5.0,0.0,-50.0,-50.0,-20.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
